106985, 13
5946, 2
133159, 43
656, 1
15072, 1
6892, 1
20953, 1
6770, 1
36410, 5
2760, 1
46405, 4
35676, 3
344737, 36
3866, 2
58244, 2
6239, 2
1380, 1
12840, 0
1969, 1
233938, 10
96236, 4
4872, 1
24474, 1
5231, 1
44925, 7
15861, 4
11064, 2
23637, 3
22903, 1
126590, 4
83415, 4
5256, 4
21046, 7
151611, 10
39028, 2
12987, 5
5045, 2
3639, 2
22414, 4
13329, 3
10095, 1
2311, 1
60821, 7
722, 1
7046, 1
776, 1
6719, 1
44425, 4
178616, 37
22337, 3
1102, 1
5700, 1
10226, 1
20068, 1
8202, 1
3014, 1
25637, 3
3997, 1
3088, 2
38661, 7
22298, 1
10088, 1
34995, 1
1682, 1
12216, 1
11759, 2
6000, 1
91172, 7
13267, 2
11599, 1
2337, 1
65427, 4
14587, 1
49792, 5
202585, 3
48362, 3
26740, 2
94735, 3
23040, 1
154701, 40
34927, 2
486237, 55
38784, 4
4449, 1
14350, 2
7486, 2
2751, 1
26658, 1
12881, 2
8442, 3
33999, 6
6000, 2
34511, 1
35407, 3
6653, 1
63607, 6
4534, 1
22199, 1
5394, 2
13654, 1
2609, 1
23066, 2
2950, 2
90617, 9
42876, 1
104137, 18
1798, 1
116935, 2
366731, 2
4188, 1
38878, 2
15348, 1
401886, 27
62371, 3
20440, 2
10543, 1
20492, 3
4090, 1
3180, 1
134111, 1
18008, 2
14706, 1
48605, 2
17808, 2
20544, 2
97590, 1
9708, 1
17219, 1
10184, 1
90920, 6
45297, 10
5141, 2
50331, 1
19519, 2
36805, 2
7300, 2
7898, 1
2838, 1
17193, 6
9634, 0
25733, 7
1228, 1
31292, 2
9621, 1
6929, 1
26582, 2
13111, 2
119072, 4
132844, 6
8383, 2
13530, 2
34339, 2
60740, 7
16779, 2
12695, 1
5558, 1
3789, 1
6998, 2
27611, 4
37762, 1
6128, 1
11177, 3
1515, 1
6152, 1
12449, 2
10865, 3
27157, 2
18610, 5
9264, 1
10993, 1
6026, 1
25222, 4
36908, 1
6279, 1
6809, 1
35543, 4
15487, 2
24162, 6
24446, 1
10566, 1
39770, 1
38532, 1
76965, 7
5303, 1
21902, 1
62910, 7
27599, 1
17919, 3
9384, 2
18050, 1
19134, 2
60056, 1
11167, 6
13390, 1
13031, 1
120504, 1
7438, 2
10609, 1
81130, 2
2446, 1
2919, 1
1482, 1
10631, 2
14405, 1
12750, 1
30019, 2
3714, 1
20567, 1
21428, 1
6701, 4
20907, 4
87684, 10
6192, 1
12871, 1
26280, 3
581, 0
492584, 69
31134, 2
113654, 13
10086, 2
21285, 7
7345, 3
3084, 1
48351, 5
6136, 1
58421, 3
75714, 2
1415, 1
15102, 1
1396, 1
3514, 1
48778, 1
21648, 3
60189, 2
10908, 1
6847, 1
1388, 1
179821, 15
28548, 3
831, 1
7393, 3
30015, 11
10574, 1
12816, 1
11836, 3
17532, 3
2409, 1
8687, 1
63826, 3
240786, 7
12355, 1
5170, 1
36207, 1
12082, 1
12682, 1
30258, 7
260053, 18
3482, 2
4579, 0
1.1857e+06, 59
9380, 1
5603, 1
11558, 1
6796, 1
1447, 1
8379, 1
34842, 1
8595, 1
23388, 7
3193, 1
25527, 3
23515, 1
15486, 1
2387, 1
5793, 1
9346, 1
17093, 3
3173, 1
13824, 5
3594, 2
18290, 0
12488, 3
1443, 3
56408, 3
84193, 8
37459, 6
10611, 1
13762, 1
2500, 1
270863, 20
1610, 1
103132, 15
6047, 1
11678, 2
2283, 1
10511, 1
1729, 1
3819, 1
677514, 41
108936, 3
15662, 3
61077, 5
37244, 5
143695, 8
9074, 1
23881, 4
109787, 8
4574, 1
398, 1
3517, 1
171152, 10
2132, 1
4355, 1
45634, 5
6123, 1
11683, 2
6723, 1
2333, 1
9050, 1
5769, 1
22127, 5
52195, 1
8828, 4
126103, 6
196628, 10
138747, 36
9259, 3
36293, 3
407, 0
1283, 1
11835, 1
8000, 2
115306, 16
3038, 1
18335, 1
37860, 1
23009, 1
89043, 6
37331, 3
5072, 1
22151, 1
7763, 2
140157, 12
8652, 1
20860, 1
10429, 1
218254, 3
6990, 1
14911, 1
64781, 6
59909, 2
205573, 35
9142, 1
12278, 1
3890, 1
23562, 2
20821, 5
45863, 11
14832, 5
12744, 2
14909, 2
38265, 2
166543, 20
235877, 19
4276, 1
56350, 3
14827, 3
6354, 2
43016, 3
18625, 2
6889, 3
3296, 1
191027, 4
60701, 2
8301, 1
64617, 7
169200, 7
192565, 12
22880, 2
2910, 1
270734, 2
223123, 5
36843, 1
26210, 2
6912, 1
26147, 4
8153, 3
9297, 2
3910, 1
2334, 1
4924, 1
11564, 1
21358, 3
33694, 3
22575, 2
17674, 1
273, 1
22285, 1
1880, 2
17632, 4
59043, 2
86576, 2
191211, 5
4202, 2
4876, 1
4427, 1
8710, 1
5665, 1
24092, 2
14458, 1
10201, 1
291840, 37
35012, 1
8694, 3
29416, 4
58238, 3
6754, 1
4565, 2
10379, 1
279166, 27
4522, 1
231146, 31
7273, 1
1316, 1
11254, 1
3146, 1
10274, 2
6818, 1
1053, 1
19948, 2
77607, 10
14882, 3
16214, 1
20340, 2
3726, 1
48770, 6
11087, 1
96617, 5
12247, 1
6105, 1
7832, 0
12022, 2
10836, 2
3481, 1
4904, 1
66628, 2
18982, 1
5422, 1
4190, 1
4248, 2
14348, 1
13140, 4
15421, 3
10742, 1
14308, 2
520, 1
4264, 1
14262, 1
6052, 1
28130, 1
10521, 1
14943, 2
6234, 2
29401, 2
2702, 2
8562, 1
3150, 1
60032, 12
33911, 1
13667, 3
2626, 1
7951, 2
113447, 13
16059, 1
31787, 6
5135, 1
38580, 4
9027, 0
116763, 7
2471, 1
2815, 1
2380, 1
244062, 6
10150, 2
9617, 1
50552, 6
